REF_DATE,GEO,DGUID,NAICS,Enterprises characteristics,country_control,Size of enterprise,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2002,Canada,2016A000011124,"Total, all industries (excluding management of companies and enterprises)",Mean operating revenues (dollars),Canadian control,Small enterprises,Dollars,81,thousands,3,v41596484,1.1.2.1.2,674,,,,0
2002,Canada,2016A000011124,"Total, all industries (excluding management of companies and enterprises)",Mean operating revenues (dollars),Canadian control,Medium enterprises,Dollars,81,thousands,3,v41596485,1.1.2.1.3,40128,,,,0
2002,Canada,2016A000011124,"Total, all industries (excluding management of companies and enterprises)",Mean operating revenues (dollars),Canadian control,Large enterprises,Dollars,81,thousands,3,v41596486,1.1.2.1.4,492741,,,,0
2002,Canada,2016A000011124,"Total, all industries (excluding management of companies and enterprises)",Mean operating revenues (dollars),Foreign control,"Total enterprises, all sizes",Dollars,81,thousands,3,v41596487,1.1.2.2.1,98221,,,,0
2002,Canada,2016A000011124,"Total, all industries (excluding management of companies and enterprises)",Mean operating revenues (dollars),Foreign control,Small enterprises,Dollars,81,thousands,3,v41596488,1.1.2.2.2,4865,,,,0
2002,Canada,2016A000011124,"Total, all industries (excluding management of companies and enterprises)",Mean operating revenues (dollars),Foreign control,Medium enterprises,Dollars,81,thousands,3,v41596489,1.1.2.2.3,43105,,,,0
2002,Canada,2016A000011124,"Total, all industries (excluding management of companies and enterprises)",Mean operating revenues (dollars),Foreign control,Large enterprises,Dollars,81,thousands,3,v41596490,1.1.2.2.4,578644,,,,0
2003,Canada,2016A000011124,"Total, all industries (excluding management of companies and enterprises)",Number of enterprises,Canadian control,"Total enterprises, all sizes",Number,223,units,0,v41596475,1.1.1.1.1,1207270,,,,0
2003,Canada,2016A000011124,"Total, all industries (excluding management of companies and enterprises)",Number of enterprises,Canadian control,Small enterprises,Number,223,units,0,v41596476,1.1.1.1.2,1200839,,,,0
2003,Canada,2016A000011124,"Total, all industries (excluding management of companies and enterprises)",Number of enterprises,Canadian control,Medium enterprises,Number,223,units,0,v41596477,1.1.1.1.3,4852,,,,0
2003,Canada,2016A000011124,"Total, all industries (excluding management of companies and enterprises)",Number of enterprises,Canadian control,Large enterprises,Number,223,units,0,v41596478,1.1.1.1.4,1579,,,,0
2003,Canada,2016A000011124,"Total, all industries (excluding management of companies and enterprises)",Number of enterprises,Foreign control,"Total enterprises, all sizes",Number,223,units,0,v41596479,1.1.1.2.1,8458,,,,0
2003,Canada,2016A000011124,"Total, all industries (excluding management of companies and enterprises)",Number of enterprises,Foreign control,Small enterprises,Number,223,units,0,v41596480,1.1.1.2.2,6214,,,,0
2003,Canada,2016A000011124,"Total, all industries (excluding management of companies and enterprises)",Number of enterprises,Foreign control,Medium enterprises,Number,223,units,0,v41596481,1.1.1.2.3,1114,,,,0
2003,Canada,2016A000011124,"Total, all industries (excluding management of companies and enterprises)",Number of enterprises,Foreign control,Large enterprises,Number,223,units,0,v41596482,1.1.1.2.4,1130,,,,0
2003,Canada,2016A000011124,"Total, all industries (excluding management of companies and enterprises)",Mean operating revenues (dollars),Canadian control,"Total enterprises, all sizes",Dollars,81,thousands,3,v41596483,1.1.2.1.1,1475,,,,0
2003,Canada,2016A000011124,"Total, all industries (excluding management of companies and enterprises)",Mean operating revenues (dollars),Canadian control,Small enterprises,Dollars,81,thousands,3,v41596484,1.1.2.1.2,669,,,,0
2003,Canada,2016A000011124,"Total, all industries (excluding management of companies and enterprises)",Mean operating revenues (dollars),Canadian control,Medium enterprises,Dollars,81,thousands,3,v41596485,1.1.2.1.3,40120,,,,0
2003,Canada,2016A000011124,"Total, all industries (excluding management of companies and enterprises)",Mean operating revenues (dollars),Canadian control,Large enterprises,Dollars,81,thousands,3,v41596486,1.1.2.1.4,495444,,,,0
2003,Canada,2016A000011124,"Total, all industries (excluding management of companies and enterprises)",Mean operating revenues (dollars),Foreign control,"Total enterprises, all sizes",Dollars,81,thousands,3,v41596487,1.1.2.2.1,87095,,,,0
2003,Canada,2016A000011124,"Total, all industries (excluding management of companies and enterprises)",Mean operating revenues (dollars),Foreign control,Small enterprises,Dollars,81,thousands,3,v41596488,1.1.2.2.2,4109,,,,0
2003,Canada,2016A000011124,"Total, all industries (excluding management of companies and enterprises)",Mean operating revenues (dollars),Foreign control,Medium enterprises,Dollars,81,thousands,3,v41596489,1.1.2.2.3,43343,,,,0
2003,Canada,2016A000011124,"Total, all industries (excluding management of companies and enterprises)",Mean operating revenues (dollars),Foreign control,Large enterprises,Dollars,81,thousands,3,v41596490,1.1.2.2.4,586575,,,,0
2004,Canada,2016A000011124,"Total, all industries (excluding management of companies and enterprises)",Number of enterprises,Canadian control,"Total enterprises, all sizes",Number,223,units,0,v41596475,1.1.1.1.1,1273717,,,,0
2004,Canada,2016A000011124,"Total, all industries (excluding management of companies and enterprises)",Number of enterprises,Canadian control,Small enterprises,Number,223,units,0,v41596476,1.1.1.1.2,1267003,,,,0
2004,Canada,2016A000011124,"Total, all industries (excluding management of companies and enterprises)",Number of enterprises,Canadian control,Medium enterprises,Number,223,units,0,v41596477,1.1.1.1.3,5063,,,,0
